,uoCodigo,uoNome,uoSigla,programaDetalheId,programaCod,deObjetivo,deIndicador,dataIndiceReferencia,formulaCalculo,indiceReferencia,deUnidadeMedida,representacaoUnidMedida,deFonteIndicador,baseGeografica,periodicidade,valorAno1,realizadoAno1,valorAno2,realizadoAno2,valorAno3,realizadoAno3,valorAno4,realizadoAno4,anoAvaliacao,TipoDado,Ano,Quadrimestre
32,11006,Secretaria de Estado do Desenvolvimento Econômico,Sedec,1469,2072,"Proteger e defender os consumidores nas relações de consumo orientando e fiscalizando o cumprimento da legislação que versa sobre os direitos dos consumidores por porte de fornecedores de bens e serviços, bem como desenvolver atividades educativas de conscientização dos direitos e deveres dos atores da relação de consumo intuindo garantir o equilíbrio do mercado de consumo de forma sustentável.",Estabelecimento Fiscalizado,2023-08-08T00:00:00,Soma de Estabelecimento Fiscalizado,2000,Unidade,Un,Gerência de Fiscalização PROCON-RO,Estadual,Anual,2000,938,4000,,5000,,8000,,2024,Avaliação Indicador,2024,
33,11006,Secretaria de Estado do Desenvolvimento Econômico,Sedec,1659,2187,Aporte de Capital e Subvenção Econômica.,Realizar aporte de capital e subvenção econômica.,2023-08-08T00:00:00,Aporte de capital e subvenção econômica realizados,100,Porcentagem,%,Coordenadoria de Parcerias Público Privada/SEDEC,Estadual,Anual,100,100,100,,100,,100,,2024,Avaliação Indicador,2024,
34,11006,Secretaria de Estado do Desenvolvimento Econômico,Sedec,1663,2142,"O Programa destina-se a fomentar, coordenar, regular e fiscalizar a realização de parcerias e concessões no âmbito da Administração Pública Estadual Direta e Indireta, ainda, serão celebradas pelo Estado ou por entidade de sua Administração Indireta com ente privado, por meio de contrato, nas áreas passíveis de desenvolver parcerias com o setor privado, quais sejam: I - educação, cultura, saúde e assistência social; II - transportes públicos; III - rodovias, ferrovias, pontes, viadutos e túneis; IV - portos e aeroportos; V - terminais de passageiros e plataformas logísticas; VI - saneamento básico; VII - tratamento e destinação final de resíduos sólidos; VIII - dutos comuns; IX - sistema penitenciário, defesa e justiça; X - ciência, pesquisa e tecnologia; XI - agronegócios e agroindústria; XII - energias; XIII - habitação; XIV - urbanização e meio ambiente; XV - esporte, lazer e turismo; XVI - infraestrutura de acesso às redes de utilidade pública; XVII - infraestrutura destinada à utilização pela Administração Pública; XVIII - incubadora de empresas; XIX - desenvolvimento de atividades e projetos voltados para a área de pessoas com necessidades especiais; XX - irrigação, barragens e adutoras; XXI - comunicações, inclusive telecomunicações; XXII - polos e condomínios industriais e/ou empresariais; e XXIII - outras áreas públicas de interesse social ou econômico. nos termos da Lei Complementar nº 609/2011 Lei 609/2011 (0024561327).",Estudos de Viabilidade de pactuação de PPP no âmbito do Estado de Rondônia.,2023-08-08T00:00:00,"Número de Estudos de Viabilidade de pactuação de PPP no âmbito do Estado de Rondônia, realizados",0,Porcentagem,%,Coordenadoria de Parcerias Público Privada/SEDEC,Estadual,Anual,100,,100,,100,,100,,2024,Avaliação Indicador,2024,
35,11007,Superintendência Estadual de Tecnologia da Informação e Comunicação,Setic,1549,2074,"Aumentar a eficácia e a eficiência das ações do Estado mediante o uso integrado da tecnologia da informação, contribuindo para o aprimoramento da governança, do social, do meio ambiente e da excelência na disponibilização de recursos tecnológicos ao cidadão - proporcionando a inclusão social por meio da conectividade.",Disponibilidade da Rede,2023-07-27T00:00:00,Período de tempo em que a rede de comunicação de dados fornecida pela SETIC está funcionando adequadamente em relação ao período de tempo compreendido em um semestre.,99,Porcentagem,%,SISTEMA DE MONITORAMENTO - SETIC,Regional,Semestral,99,99,99,,99,,99,,2024,Avaliação Indicador,2024,
36,11007,Superintendência Estadual de Tecnologia da Informação e Comunicação,Setic,1549,2074,"Aumentar a eficácia e a eficiência das ações do Estado mediante o uso integrado da tecnologia da informação, contribuindo para o aprimoramento da governança, do social, do meio ambiente e da excelência na disponibilização de recursos tecnológicos ao cidadão - proporcionando a inclusão social por meio da conectividade.",Latência da Rede,2023-07-27T00:00:00,Período de tempo em que a latência da rede de comunicação de dados fornecida pela SETIC está operando em limite aceitável em relação ao período de tempo compreendido em um semestre.,95,Porcentagem,%,SISTEMA DE MONITORAMENTO - SETIC,Regional,Semestral,95,95,95,,95,,95,,2024,Avaliação Indicador,2024,
37,11007,Superintendência Estadual de Tecnologia da Informação e Comunicação,Setic,1549,2074,"Aumentar a eficácia e a eficiência das ações do Estado mediante o uso integrado da tecnologia da informação, contribuindo para o aprimoramento da governança, do social, do meio ambiente e da excelência na disponibilização de recursos tecnológicos ao cidadão - proporcionando a inclusão social por meio da conectividade.",Municípios Atendidos pela INFOVIA,2023-07-27T00:00:00,Número de municípios atendidos pela rede de comunicação de dados do Governo do Estado de Rondônia - INFOVIA,3,Unidade,Un,DADOS DA INFOVIA - SETIC,Estadual,Anual,4,0,7,,10,,13,,2024,Avaliação Indicador,2024,
38,11007,Superintendência Estadual de Tecnologia da Informação e Comunicação,Setic,1549,2074,"Aumentar a eficácia e a eficiência das ações do Estado mediante o uso integrado da tecnologia da informação, contribuindo para o aprimoramento da governança, do social, do meio ambiente e da excelência na disponibilização de recursos tecnológicos ao cidadão - proporcionando a inclusão social por meio da conectividade.",Taxa de Reclamação de Serviços - Central de Atendimento da SETIC,2023-07-27T00:00:00,Quantidade de reclamações acerca dos serviços prestados a outros órgãos pela central de atendimento da SETIC - índice visa cumprir o limite de 2 reclamações por mês.,2,Unidade,Un,SISTEMA GLPI,Regional,Mensal,24,24,24,,24,,24,,2024,Avaliação Indicador,2024,
39,11007,Superintendência Estadual de Tecnologia da Informação e Comunicação,Setic,1549,2074,"Aumentar a eficácia e a eficiência das ações do Estado mediante o uso integrado da tecnologia da informação, contribuindo para o aprimoramento da governança, do social, do meio ambiente e da excelência na disponibilização de recursos tecnológicos ao cidadão - proporcionando a inclusão social por meio da conectividade.",Taxa de Tempo de Reparo,2023-07-27T00:00:00,Tempo em que a Central de Atendimento da SETIC demora para realizar a conclusão de reparos solicitados por outras unidades governamentais - limite esperado de até 12 horas.,12,Hora,h,SISTEMA GLPI,Regional,Mensal,12,12,12,,12,,12,,2024,Avaliação Indicador,2024,
40,11008,Superintendência Estadual de Compras e Licitações,SUPEL,1547,2058,Gerar economia/otimização de recurso em escala através das compras públicas do estado de Rondônia e reduzir o tempo de conclusão dos processos licitatórios.,Dias de duração do processo licitatório,2023-03-01T00:00:00,"X1: Quantidade de procedimentos licitatórios realizados
X2: Soma dos dias de duração dos processos
Fórmula: X2 / X1
Resultado em média dos dias
",105,Dias,d,Relatório Anual de Licitações elaborado pela unidade,Estadual,Anual,100,85,95,,90,,85,,2024,Avaliação Indicador,2024,
41,11008,Superintendência Estadual de Compras e Licitações,SUPEL,1547,2058,Gerar economia/otimização de recurso em escala através das compras públicas do estado de Rondônia e reduzir o tempo de conclusão dos processos licitatórios.,Índice de economia/otimização de recursos alcançados através dos processos licitatórios,2023-03-01T00:00:00,"X1 = Preço médio estimado para as licitações
X2 = Valores adjudicados nas licitações
Fórmula: X2 / X1 * 100
Resultado em porcentagem (%)
",45.88,Porcentagem,%,Relatório Anual de Licitações elaborado pela unidade,Estadual,Anual,46,33,46.5,,47,,47.5,,2024,Avaliação Indicador,2024,
