,acaoDetalheId,uoCodigo,programaCod,acaoCod,restricaoCodFormatado,descricao,justificativa,sugestaoMelhoria,anoMonitoramento,quadrimestreMonitoramento,TipoDado,Ano,Quadrimestre
164,5329,03011,2073,2449,ADM14,Outras (especificar).,"Em razão desta ação possuir grande parte do orçamento destacado para cobertura de contratos continuados, é natural que a execução para o primeiro quadrimestre não seja expressiva.
",A execução tende a atingir os parâmetros satisfatórios até o final do exercício.,2024,1,Restrição,2024,1
165,5261,15005,2182,1637,FIN01,Indisponibilidade de recursos financeiros.,"O percentual destinado a Polícia Militar no cronograma de desembolso obrigou a priorização do adimplemento de despesas de custeio voltadas a garantir a vida vegetativa dos mais de 100 quartéis em todo o Estado.
",Destinação de maior repasse nos meses iniciais de modo a permitir a manutenção do policiamento mesmo com a demanda que naturalmente é aumentada nos três primeiros meses do ano.,2024,1,Restrição,2024,1
166,5118,30011,1009,2535,LIC03,Procedimento licitatório burocrático.,Dificuldades para adaptação dos trâmites licitatórios internos às regras estabelecidas pela Lei de Licitações e Contratos (Lei 14.133/2021) e Decreto Estadual n.º 28.874/2024.,Sugere-se a capacitação dos servidores envolvidos e elaboração de modelos de documentos.,2024,1,Restrição,2024,1
167,5260,03011,0000,0236,ADM14,Outras (especificar).,"1 - falta de comprovação adequada do motivo da devolução;
2 - Erros no preenchimento do formulário de solicitação
3 - falta de documentação necessária, como procuração com poderes para receber e dar quitação.","Implementação de Formulário Digital, o que está atualmente em desenvolvimento 
Atualização da instrução de devolução de receitas que está em fase final de elaboração.",2024,1,Restrição,2024,1
168,5115,30011,1009,2532,INS01,Dificuldade no relacionamento interinstitucional.,"No período não houve progresso no processo na regularização, por parte da Secretaria de Estado de Patrimônio e Regularização Fundiária do Estado de Rondônia (SEPAT), do imóvel (terreno) doado pela Prefeitura de Buritis, visando a contratação da sondagem e levantamento planialtimétrico e a obra de construção de núcleo. Até o momento, ambas contratações estão sobrestadas para verificação da melhor forma de resolução do problema.","Para superar o problema descrito, sugere-se comunicação aberta e regular com os órgãos parceiros para resolver rapidamente quaisquer problemas que possam surgir durante o processo de entrega e desenvolver planos de contingência que possam ser acionados.",2024,1,Restrição,2024,1
169,5115,30011,1009,2532,LIC03,Procedimento licitatório burocrático.,Dificuldades para adaptação dos trâmites licitatórios internos às regras estabelecidas pela Lei de Licitações e Contratos (Lei 14.133/2021) e Decreto Estadual n.º 28.874/2024.,Sugere-se a capacitação dos servidores envolvidos e elaboração de modelos de documentos.,2024,1,Restrição,2024,1
170,5098,11004,2108,2194,ADM02,Atividades dependentes de articulação com outras unidades administrativas.,Processos ainda em tramitação em outras unidades.,Acompanhamento dos processos para um melhor desempenho.,2024,1,Restrição,2024,1
171,5230,13006,1015,2087,ADM14,Outras (especificar).,"Houveram a falta de empenho de alguns processos no 1 Quadrimestre, os quais estão abaixo relacionados, justificando assim, a baixa execução orçamentária:
SEI n.º 0031.001124/2024-21
SEI n.º 0031.004321/2023-11
SEI n.º 0031.002574/2023-50
",Finalização das aquisições pretendidas.,2024,1,Restrição,2024,1
172,5410,31001,2138,4060,FIN01,Indisponibilidade de recursos financeiros.,"Foi planejado para a ação a viabilidade de recursos para diárias, aquisição de materiais de consumo, serviços de pessoas jurídicas e físicas, contratação de pessoal entre outros, porém devido à disponibilidade de recursos só foi possível reservar o orçamento para as aquisições em Despesas de Capital: material permanente. 
Cabe ressaltar que esta unidade informou através do Memorando nº 369/2023/SEPAT-COOPI Id 0044580229, que devido ao orçamento algumas ações executadas seriam contingenciadas, além disso, elencou os possíveis riscos que isso acarretaria as atividades a serem executadas, em que podemos ressaltar:
I - Insuficiência de veículos para o deslocamento;
II - Insuficiência de equipe, 
III - A não fiscalização dos imóveis públicos, podendo gerar invasões, depredações, abandonos, lugar para descarte de lixo e abrigo para animais peçonhentos, gerando transtorno a população do entorno do imóvel.

",Viabilização de recursos orçamentários. ,2024,1,Restrição,2024,1
173,5504,17033,1015,1490,ORC03,Insuficiência de recursos alocados na Lei Orçamentária.,Essa ação foi criada visando a transformação do CETAS em Instituto de Saúde Pública. O processo para criação do instituto encontra-se em tramitação junto a Assembleia Legislativa do Estado de Rondônia. Essa ação tem por objetivo recrutar força de trabalho para atender as novas demandas que estão sendo estruturadas para o processo de educação e aprendizagem dos profissionais de saúde inseridos no SUS.  ,Estamos aguardando a criação do Instituto de Saúde Pública e estruturando os novos serviços e ações voltadas ao processo de Educação Permanente em Saúde no SUS para atender aos profissionais de saúde inseridos no SUS. ,2024,1,Restrição,2024,1
174,5045,21001,1015,2909,ADM14,Outras (especificar).,"A nova composição do Colegiado foi nomeada apenas no mês de Maio corrente, conforme DECRETO N. 29.095, 09/05/2024.",NÃO SE APLICA.,2024,1,Restrição,2024,1
175,5034,16020,2134,2355,OUT02,Outras (especificar).,Ressaltamos que os insumos que foram utilizados para atender os cursos desta ação estavam em estoque e/ou foram adquiridos através de processos de compra realizados por este IDEP/RO em exercícios anteriores (o que refletiu na baixa execução orçamentária do atual período),"A compra de insumos é necessário para a execução dos cursos de Iniciação e Qualificação Profissional; essa ação reflete, em mais gastos, projetando uma maior execução orçamentária para os próximos períodos do ano. Diante disso, estamos intensivando o acompanhando dos processos de aquisição de materiais de consumo e permanente que deverão entrar no cômputo de gastos para os próximos períodos de 2024.  ",2024,1,Restrição,2024,1
176,4924,17032,2105,2145,ORC03,Insuficiência de recursos alocados na Lei Orçamentária.,"Houve uma redução de R$ 20.204.048,00 no teto orçamentário, com relação ao que foi planejado pela unidade, comprometendo significativamente o atendimento das metas propostas, visto torna inexequível algumas atividades por não terem dotações orçamentárias suficientes para sua cobertura. Em virtude dessa redução a cota no cronograma de desembolso também foi reduzida, impossibilitando o empenho com valores maiores.",Foi solicitada abertura de crédito suplementar através do processo 0052.001619/2024-10.,2024,1,Restrição,2024,1
177,5366,21001,2165,1625,ORC06,Demora na tramitação de crédito adicional.,"Encaminhamos o processo 0033.006125/2024-41 para solicitação de suplementação orçamentária no mês de Fevereiro e até o momento o processo se encontra na ALE para devida aprovação, sem previsão de andamento. ","Os gestores superiores terem uma reunião de alinhamento com os parlamentares, a fim de explicar a importância da disponibilização dos tais recursos. Tendo em vista que o recurso é da união e tem diversos projetos em andamento. ",2024,1,Restrição,2024,1
178,5368,21001,2165,1626,ORC06,Demora na tramitação de crédito adicional.,"Encaminhamos o processo 0033.006125/2024-41 para solicitação de suplementação orçamentária no mês de Fevereiro e até o momento o processo se encontra na ALE para devida aprovação, sem previsão de andamento. ","Os gestores superiores terem uma reunião de alinhamento com os parlamentares, a fim de explicar a importância da disponibilização dos tais recursos. Tendo em vista que o recurso é da união e tem diversos projetos em andamento. ",2024,1,Restrição,2024,1
179,5364,21001,2165,4076,ORC06,Demora na tramitação de crédito adicional.,"Encaminhamos o processo 0033.006125/2024-41 e 0033.006263/2024-21 para solicitação de suplementação orçamentária no mês de Fevereiro e até o momento o processo se encontra na ALE para devida aprovação, sem previsão de andamento. ","Os gestores superiores terem uma reunião de alinhamento com os parlamentares, a fim de explicar a importância da disponibilização dos tais recursos. Tendo em vista que o recurso é da união e tem diversos projetos em andamento. ",2024,1,Restrição,2024,1
180,5055,21001,2102,2237,LIC03,Procedimento licitatório burocrático.,"Todos os processos de aquisições estão ocorrendo em trâmites normais entre a SUPEL, em fase de proposta. ",Celeridade na superintendência de licitação.  ,2024,1,Restrição,2024,1
181,5326,17010,1015,2087,FIN02,Problemas relativos ao fluxo de liberação dos recursos.,"A execução das ações planejadas para o primeiro quadrimestre está abaixo do previsto devido a problemas no fluxo de liberação dos recursos orçamentários. A liberação de cotas bimestrais está sendo realizado de uma forma que atende apenas o pagamento de JETON mensalmente, para o colegiado, conforme estabelecido na Lei nº 435/199, comprometendo o orçamento total disponível para outras ações do CONEPOD. ",Revisão do cronograma de liberação de recursos para que as cotas orçamentárias sejam disponibilizadas de uma forma que permita uma melhor gestão do orçamento e maior flexibilidade para a execução das atividades planejadas.,2024,1,Restrição,2024,1
182,4817,18001,2154,2594,AMB06,Outras (especificar).,"A coordenadoria tem vivenciado o período de RESCALDO (prorrogado) da ação de desocupação do Parque Estadual Guajará Mirim, o que demandou a utilização de grande parte do recurso orçamentário da Secretaria de Estado de Desenvolvimento Ambiental - SEDAM, desde agosto de 2023, onerando diversas ações anteriormente programadas para as diversas áreas temáticas vivenciadas por cada UC gerida por esta CUC.

Contudo, e se tratando de iminente perda irreparável da fauna e flora da região caso nova invasão venha a ocorrer por falta de efetivo policial no Parque Estadual Guajará-Mirim, os quais são atributos de grande relevância ambiental, sendo objeto de especial proteção por se tratar de área protegida, o período de rescaldo/manutenção foi e tem sido de suma importância para a Unidade de Conservação em questão.

Contudo, vale salientar, que esta Secretaria de Estado do Desenvolvimento Ambiental - SEDAM através de sua Coordenadoria de Unidades de Conservação - CUC, tem como principal atribuição gestão de 49 (quarenta e nove) Unidades de Conservação Estaduais, sendo que cada UC detém de prioridades e peculiaridades distintas, que também demandam aporte financeiro para que suas atividades ocorram de forma efetiva e ágil.","Verificação dos recursos destinados para tal ação, poderem de fato ser utilizados para atender as demandas propostas pelo Programa, umas vez que, conforme exposto, em sua maioria os recursos orçamentários foram destinados para o Parque Estadual Guajará-Mirim.",2024,1,Restrição,2024,1
