id,acao_detalhe_id,uo_codigo,programa_codigo,acao_codigo,valor_dotacao_inicial_ppa,valor_dotacao_inicial,valor_dotacao_atual,valor_empenhado,valor_liquidado_ano,valor_pago,valor_liquidado_a_pagar,valor_restos_a_pagar,ate_quadrimestre,ate_quadrimestre_fin_rpnp,numero_quadrimestre_fin_rpnp,ano_monitoramento,quadrimestre_monitoramento,tipo_dado,ano,quadrimestre
31,5277,17012,2034,4011,29878686,29878686,35176525.3,17390525.17,7360930.77,5604066.75,0.0,0.0,31886941.73,0.0,0.0,2024,1,Ação Financeiro,2024,1
32,5194,29001,1280,2989,7814500,7814500,7814500.0,2339798.19,2072878.8,2072878.8,0.0,0.0,7034866.43,0.0,0.0,2024,1,Ação Financeiro,2024,1
33,5099,30001,1007,2517,78225050,78225050,78225050.0,23366061.44,23366061.44,23366061.44,0.0,0.0,80577909.46,0.0,0.0,2024,1,Ação Financeiro,2024,1
34,5170,15020,1015,2282,5187680,5187680,5187680.0,1985000.0,535674.13,534509.07,0.0,0.0,2584968.66,0.0,0.0,2024,1,Ação Financeiro,2024,1
35,5087,23001,2175,4069,75187932,75187932,75187932.0,69000.0,15229.82,15229.82,0.0,0.0,306160.64,0.0,0.0,2024,1,Ação Financeiro,2024,1
36,5004,15001,1025,2437,27159188,27159188,27159188.0,7352019.42,7352019.42,7352019.42,0.0,0.0,24115986.71,0.0,0.0,2024,1,Ação Financeiro,2024,1
37,4992,16001,2158,1581,70012443,70012443,69905464.98,388209.63,388209.63,388209.63,0.0,0.0,4315899.04,0.0,0.0,2024,1,Ação Financeiro,2024,1
38,4909,11017,2135,2461,69521,69521,69521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
39,4826,23001,1015,2091,8251217,8251217,8251217.0,1839649.32,1839649.32,1839649.32,0.0,0.0,5977303.85,0.0,0.0,2024,1,Ação Financeiro,2024,1
40,5448,11013,2000,4147,4510696,4510696,4510696.0,3824241.5,2002.5,2002.5,0.0,0.0,22158704.79,0.0,0.0,2024,1,Ação Financeiro,2024,1
41,4897,23030,2006,2339,288000,288000,288000.0,63924.04,63924.04,63924.04,0.0,0.0,153054.6,0.0,0.0,2024,1,Ação Financeiro,2024,1
42,4814,17034,1015,2096,634246,634246,634246.0,216150.0,89271.8,83676.3,0.0,0.0,1049723.11,0.0,0.0,2024,1,Ação Financeiro,2024,1
43,5519,16001,2158,1650,345185,345185,345185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
44,4731,16020,1015,2234,3388739,3388739,3388739.0,959325.26,959325.26,939346.07,0.0,0.0,3613660.85,0.0,0.0,2024,1,Ação Financeiro,2024,1
45,5436,11013,2000,4146,4500000,4500000,4500000.0,1324750.4,213710.26,168175.74,0.0,0.0,4594345.93,0.0,0.0,2024,1,Ação Financeiro,2024,1
46,4802,19023,1015,2234,36585630,36585630,47851433.05,29443426.01,29443426.01,29057830.47,0.0,0.0,39235481.19,0.0,0.0,2024,1,Ação Financeiro,2024,1
47,5353,3011,2065,1509,9952000,9952000,8436960.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
48,4719,14023,1000,2064,7997361,7997361,7561659.0,532480.76,68958.3,40638.3,0.0,0.0,4374245.43,0.0,0.0,2024,1,Ação Financeiro,2024,1
49,5341,15017,2166,1381,7999400,7999400,14799400.0,2779634.74,0.0,0.0,0.0,0.0,1159164.12,0.0,0.0,2024,1,Ação Financeiro,2024,1
50,5258,15005,1015,2087,4924587,4924587,4924587.0,1830120.69,1265815.18,1250706.1,0.0,0.0,4645624.83,0.0,0.0,2024,1,Ação Financeiro,2024,1
51,4707,19023,1015,1490,2785125,2785125,2785125.0,638863.63,638863.63,638863.63,0.0,0.0,2355653.77,0.0,0.0,2024,1,Ação Financeiro,2024,1
52,5175,15020,1015,2096,1904584,1904584,2424584.0,1097761.65,531184.15,508621.15,0.0,0.0,2752970.37,0.0,0.0,2024,1,Ação Financeiro,2024,1
53,5246,19001,2055,2388,755000,755000,755000.0,39184.96,34162.96,34162.96,0.0,0.0,101903.41,0.0,0.0,2024,1,Ação Financeiro,2024,1
54,5163,16001,2176,4098,3000000,3000000,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
55,5080,23012,2169,4084,10000000,10000000,10000000.0,1562128.75,954431.8,706331.8,0.0,0.0,3093016.8,0.0,0.0,2024,1,Ação Financeiro,2024,1
56,5151,11007,2074,2283,1600976,1600976,1600976.0,500000.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
57,4985,16001,2157,4041,110568376,110568376,116360813.56,58007103.54,11052850.02,10298308.88,0.0,0.0,89848171.01,0.0,0.0,2024,1,Ação Financeiro,2024,1
58,5524,32001,2094,4127,1000,1000,1401000.0,420000.0,0.0,0.0,0.0,0.0,707699.52,0.0,0.0,2024,1,Ação Financeiro,2024,1
59,4973,16001,2156,4034,500761673,500761673,480818173.0,148233485.73,148227906.8,148227906.8,0.0,0.0,500024150.25,0.0,0.0,2024,1,Ação Financeiro,2024,1
60,4890,23030,1015,2087,2438000,2438000,2438000.0,751813.03,552235.1,552235.1,0.0,0.0,1945128.67,0.0,0.0,2024,1,Ação Financeiro,2024,1
61,4807,18001,2153,2164,200000,200000,25000.0,0.0,0.0,0.0,0.0,0.0,944164.49,0.0,0.0,2024,1,Ação Financeiro,2024,1
62,5512,3011,2065,1518,5000000,5000000,1044253.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
63,4878,11005,1015,2091,486867,486867,486867.0,76123.04,76123.04,76123.04,0.0,0.0,215203.95,0.0,0.0,2024,1,Ação Financeiro,2024,1
64,5429,11013,2000,4148,3100000,3100000,3100000.0,0.0,0.0,0.0,0.0,0.0,755642.61,0.0,0.0,2024,1,Ação Financeiro,2024,1
65,4795,16001,1015,2096,5107035,5107035,6029593.89,4292888.55,1101279.26,1098164.26,0.0,0.0,4841339.97,0.0,0.0,2024,1,Ação Financeiro,2024,1
66,5500,16001,2158,4106,7061396,7061396,7061396.0,282938.43,282938.43,282938.43,0.0,0.0,1272303.41,0.0,0.0,2024,1,Ação Financeiro,2024,1
67,5334,32001,1015,2091,608740,608740,608740.0,74752.25,74752.25,74752.25,0.0,0.0,263049.95,0.0,0.0,2024,1,Ação Financeiro,2024,1
68,4783,16001,1015,2087,67586101,67586101,66650409.39,30120065.82,9224787.56,9166219.38,0.0,0.0,42563997.8,0.0,0.0,2024,1,Ação Financeiro,2024,1
69,4700,19023,2096,2634,1354000,1354000,1054000.0,308115.5,115438.0,115438.0,0.0,0.0,429426.46,0.0,0.0,2024,1,Ação Financeiro,2024,1
70,5156,16020,2134,2460,7924000,7924000,7924000.0,2490338.8,1130635.44,810877.65,0.0,0.0,4939906.39,0.0,0.0,2024,1,Ação Financeiro,2024,1
71,5227,13006,0,15,2845860,2845860,5714869.16,1866426.3,1866426.3,1866426.3,0.0,0.0,6296554.9,0.0,0.0,2024,1,Ação Financeiro,2024,1
72,5144,29012,1280,2976,8648852,8648852,8648852.0,799564.63,140885.41,38167.12,0.0,0.0,3050666.43,0.0,0.0,2024,1,Ação Financeiro,2024,1
73,5049,21001,2102,2250,500000,500000,500000.0,162848.02,109686.02,10939.35,0.0,0.0,554069.52,0.0,0.0,2024,1,Ação Financeiro,2024,1
74,4966,15014,2103,1276,6245134,6245134,6245134.0,180686.78,0.0,0.0,0.0,0.0,43472.58,0.0,0.0,2024,1,Ação Financeiro,2024,1
75,4954,17012,1015,2091,39363630,39363630,39363630.0,11221977.95,11221977.95,11221977.95,0.0,0.0,33312817.86,0.0,0.0,2024,1,Ação Financeiro,2024,1
76,5505,17033,2070,1646,350000,350000,300000.0,71282.45,55650.0,0.0,0.0,0.0,277371.25,0.0,0.0,2024,1,Ação Financeiro,2024,1
77,4871,2001,1011,2542,2450000,2450000,2450000.0,170360.9,94104.9,94104.9,0.0,0.0,603953.03,0.0,0.0,2024,1,Ação Financeiro,2024,1
78,5493,16001,2157,4104,30049097,30049097,28049097.0,6788249.1,6788249.1,6788249.1,0.0,0.0,21036706.23,0.0,0.0,2024,1,Ação Financeiro,2024,1
79,5410,31001,2138,4060,100000,100000,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
80,4859,11006,2072,2661,200000,200000,200000.0,57327.5,48855.05,48134.84,0.0,0.0,162087.39,0.0,0.0,2024,1,Ação Financeiro,2024,1
81,4776,11007,1015,2234,17753346,17753346,17753346.0,5407988.64,5407988.64,5224840.07,0.0,0.0,17793238.78,0.0,0.0,2024,1,Ação Financeiro,2024,1
82,5481,11006,2142,1505,820000,820000,820000.0,8349.4,0.0,0.0,0.0,0.0,14251.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
83,4764,11020,2148,2536,287400,287400,287400.0,14100.0,0.0,0.0,0.0,0.0,14100.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
84,5315,14012,2139,2488,15022085,15022085,15622085.0,2837720.27,586712.61,557548.33,0.0,0.0,9587619.56,0.0,0.0,2024,1,Ação Financeiro,2024,1
85,4681,2001,2147,2523,150000,150000,150000.0,100000.0,100000.0,100000.0,0.0,0.0,150000.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
86,5303,11025,2057,4112,300000,300000,677000.0,0.0,0.0,0.0,0.0,0.0,555650.4,0.0,0.0,2024,1,Ação Financeiro,2024,1
87,5220,15006,2166,2154,916771,916771,908771.0,258677.5,220242.32,212117.2,0.0,0.0,735748.74,0.0,0.0,2024,1,Ação Financeiro,2024,1
88,5137,19001,2003,2023,11711803,11711803,14841803.0,8837793.77,263437.54,255786.66,0.0,0.0,11157916.89,0.0,0.0,2024,1,Ação Financeiro,2024,1
89,5208,14001,2008,3017,1800000,1800000,1800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
90,5184,15020,2170,4088,1500000,1500000,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
91,5101,19011,2005,1091,190228,190228,190228.0,9198.0,0.0,0.0,0.0,0.0,109934.89,0.0,0.0,2024,1,Ação Financeiro,2024,1
92,5018,16001,2158,1619,18504913,18504913,18589839.19,5879220.7,5877818.93,5877008.39,0.0,0.0,23324079.88,0.0,0.0,2024,1,Ação Financeiro,2024,1
93,5089,23012,2169,4083,270000,270000,270000.0,10084.0,2970.0,2970.0,0.0,0.0,141137.04,0.0,0.0,2024,1,Ação Financeiro,2024,1
94,5006,23001,2162,2296,1282768,1282768,1282768.0,0.0,0.0,0.0,0.0,0.0,155055.27,0.0,0.0,2024,1,Ação Financeiro,2024,1
95,4923,17032,2105,4032,600000,600000,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
96,4994,16001,2158,4044,72741193,72741193,77675547.5,4680800.72,4680800.72,4680800.72,0.0,0.0,22363728.26,0.0,0.0,2024,1,Ação Financeiro,2024,1
97,4911,23002,1015,2087,60000,60000,60000.0,0.0,0.0,0.0,0.0,0.0,40794.3,0.0,0.0,2024,1,Ação Financeiro,2024,1
98,5462,11009,1015,4103,600300,600300,600300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
99,4828,18001,2154,2599,625657,625657,569422.0,0.0,0.0,0.0,0.0,0.0,5839.6,0.0,0.0,2024,1,Ação Financeiro,2024,1
100,5367,19023,1015,1644,5497905,5497905,500000.0,49690.0,0.0,0.0,0.0,0.0,49690.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
101,4816,19025,1015,2091,1840728,1840728,1840728.0,429479.16,429479.16,429479.16,0.0,0.0,1270254.33,0.0,0.0,2024,1,Ação Financeiro,2024,1
102,4733,16020,1015,1490,4541631,4541631,4541631.0,1332934.65,1332934.64,1293298.75,0.0,0.0,3712375.29,0.0,0.0,2024,1,Ação Financeiro,2024,1
103,5438,31001,2160,4065,430500,430500,280102.0,80632.5,3114.0,3114.0,0.0,0.0,274455.71,0.0,0.0,2024,1,Ação Financeiro,2024,1
104,5355,3011,1017,4081,5017000,5017000,4554024.0,2609403.36,1029618.62,857039.2,0.0,0.0,2915334.23,0.0,0.0,2024,1,Ação Financeiro,2024,1
105,4721,11009,2128,2557,700000,700000,700000.0,340000.0,154804.52,154804.52,0.0,0.0,389662.62,0.0,0.0,2024,1,Ação Financeiro,2024,1
106,5272,11025,1015,2935,8980000,8980000,8980000.0,3686195.96,2114481.8,2050404.24,0.0,0.0,9482016.68,0.0,0.0,2024,1,Ação Financeiro,2024,1
107,5343,15017,2166,2237,12583000,12583000,34866592.97,0.0,0.0,0.0,0.0,0.0,1973897.09,0.0,0.0,2024,1,Ação Financeiro,2024,1
108,5260,3011,0,236,150000,150000,150000.0,95797.1,95797.1,91609.4,0.0,0.0,163546.3,0.0,0.0,2024,1,Ação Financeiro,2024,1
109,5165,16001,2176,4100,3000000,3000000,3000000.0,369839.96,337546.96,337546.96,0.0,0.0,2311911.75,0.0,0.0,2024,1,Ação Financeiro,2024,1
110,5082,14002,0,24,401873404,401873404,401873404.0,54141665.95,49801002.66,47876710.87,0.0,0.0,399793132.59,0.0,0.0,2024,1,Ação Financeiro,2024,1
111,4999,16001,2158,1617,39923325,39923325,40032053.13,5611438.87,5611438.87,5611438.87,0.0,0.0,22491517.71,0.0,0.0,2024,1,Ação Financeiro,2024,1
112,5070,15004,2103,1276,900548,900548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
113,4987,23013,2115,2093,216406,216406,216406.0,116257.0,109699.78,109699.78,0.0,0.0,109699.78,0.0,0.0,2024,1,Ação Financeiro,2024,1
114,5443,11006,2187,4151,6000,6000,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,Ação Financeiro,2024,1
115,4975,16001,2156,4036,108784814,108784814,106043695.92,66348473.81,14406604.61,13040737.84,0.0,0.0,97064680.96,0.0,0.0,2024,1,Ação Financeiro,2024,1
