,acaoDetalheId,uoCodigo,programaCod,acaoCod,microRegiao,deMicroRegiao,noQuadrimestre,ateQuadrimestre,noQuadrimestreFisRpnp,ateQuadrimestreFisRpnp,quantidadePpa,anoMonitoramento,quadrimestreMonitoramento,TipoDado,Ano,Quadrimestre
65,4700,19023,2096,2634,6,Região VI,1177,1177,0,0,2274,2024,1,Ação Físico,2024,1
66,4700,19023,2096,2634,7,Região VII,1881,1881,0,0,3523,2024,1,Ação Físico,2024,1
67,4700,19023,2096,2634,8,Região VIII,1029,1029,0,0,2249,2024,1,Ação Físico,2024,1
68,4700,19023,2096,2634,9,Região IX,972,972,0,0,1972,2024,1,Ação Físico,2024,1
69,4700,19023,2096,2634,10,Região X,338,338,0,0,994,2024,1,Ação Físico,2024,1
70,4701,19023,2096,2515,1,Região I,15,15,0,0,144,2024,1,Ação Físico,2024,1
71,4701,19023,2096,2515,2,Região II,4,4,0,0,24,2024,1,Ação Físico,2024,1
72,4701,19023,2096,2515,3,Região III,16,16,0,0,72,2024,1,Ação Físico,2024,1
73,4701,19023,2096,2515,4,Região IV,46,46,0,0,84,2024,1,Ação Físico,2024,1
74,4701,19023,2096,2515,5,Região V,34,34,0,0,96,2024,1,Ação Físico,2024,1
75,4701,19023,2096,2515,6,Região VI,21,21,0,0,72,2024,1,Ação Físico,2024,1
76,4701,19023,2096,2515,7,Região VII,2,2,0,0,24,2024,1,Ação Físico,2024,1
77,4701,19023,2096,2515,8,Região VIII,7,7,0,0,72,2024,1,Ação Físico,2024,1
78,4701,19023,2096,2515,10,Região X,3,3,0,0,24,2024,1,Ação Físico,2024,1
79,4703,19023,2096,2516,1,Região I,9,9,0,0,26,2024,1,Ação Físico,2024,1
80,4703,19023,2096,2516,2,Região II,9,9,0,0,34,2024,1,Ação Físico,2024,1
81,4703,19023,2096,2516,3,Região III,13,13,0,0,66,2024,1,Ação Físico,2024,1
82,4703,19023,2096,2516,4,Região IV,39,39,0,0,46,2024,1,Ação Físico,2024,1
83,4703,19023,2096,2516,5,Região V,17,17,0,0,66,2024,1,Ação Físico,2024,1
84,4703,19023,2096,2516,6,Região VI,26,26,0,0,50,2024,1,Ação Físico,2024,1
85,4703,19023,2096,2516,7,Região VII,34,34,0,0,62,2024,1,Ação Físico,2024,1
86,4703,19023,2096,2516,8,Região VIII,24,24,0,0,56,2024,1,Ação Físico,2024,1
87,4703,19023,2096,2516,9,Região IX,7,7,0,0,42,2024,1,Ação Físico,2024,1
88,4703,19023,2096,2516,10,Região X,3,3,0,0,20,2024,1,Ação Físico,2024,1
89,4704,19023,1015,2096,1,Região I,0,0,0,0,47,2024,1,Ação Físico,2024,1
90,4704,19023,1015,2096,2,Região II,0,0,0,0,13,2024,1,Ação Físico,2024,1
91,4704,19023,1015,2096,3,Região III,0,0,0,0,10,2024,1,Ação Físico,2024,1
92,4704,19023,1015,2096,4,Região IV,0,0,0,0,7,2024,1,Ação Físico,2024,1
93,4704,19023,1015,2096,5,Região V,0,0,0,0,7,2024,1,Ação Físico,2024,1
94,4704,19023,1015,2096,6,Região VI,0,0,0,0,15,2024,1,Ação Físico,2024,1
95,4704,19023,1015,2096,7,Região VII,0,0,0,0,13,2024,1,Ação Físico,2024,1
96,4704,19023,1015,2096,8,Região VIII,0,0,0,0,22,2024,1,Ação Físico,2024,1
97,4704,19023,1015,2096,9,Região IX,0,0,0,0,14,2024,1,Ação Físico,2024,1
98,4704,19023,1015,2096,10,Região X,0,0,0,0,4,2024,1,Ação Físico,2024,1
99,4706,19023,1015,2087,1,Região I,12,12,0,0,12,2024,1,Ação Físico,2024,1
100,4706,19023,1015,2087,2,Região II,10,10,0,0,10,2024,1,Ação Físico,2024,1
101,4706,19023,1015,2087,3,Região III,11,11,0,0,11,2024,1,Ação Físico,2024,1
102,4706,19023,1015,2087,4,Região IV,6,6,0,0,6,2024,1,Ação Físico,2024,1
103,4706,19023,1015,2087,5,Região V,9,9,0,0,9,2024,1,Ação Físico,2024,1
104,4706,19023,1015,2087,6,Região VI,8,8,0,0,8,2024,1,Ação Físico,2024,1
105,4706,19023,1015,2087,7,Região VII,10,10,0,0,10,2024,1,Ação Físico,2024,1
106,4706,19023,1015,2087,8,Região VIII,10,10,0,0,11,2024,1,Ação Físico,2024,1
107,4706,19023,1015,2087,9,Região IX,6,6,0,0,6,2024,1,Ação Físico,2024,1
108,4706,19023,1015,2087,10,Região X,6,6,0,0,6,2024,1,Ação Físico,2024,1
109,4707,19023,1015,1490,1,Região I,10,10,0,0,10,2024,1,Ação Físico,2024,1
110,4707,19023,1015,1490,2,Região II,4,4,0,0,4,2024,1,Ação Físico,2024,1
111,4707,19023,1015,1490,3,Região III,4,4,0,0,4,2024,1,Ação Físico,2024,1
112,4707,19023,1015,1490,4,Região IV,1,1,0,0,2,2024,1,Ação Físico,2024,1
113,4707,19023,1015,1490,5,Região V,3,3,0,0,4,2024,1,Ação Físico,2024,1
114,4707,19023,1015,1490,6,Região VI,2,2,0,0,1,2024,1,Ação Físico,2024,1
115,4707,19023,1015,1490,7,Região VII,2,2,0,0,2,2024,1,Ação Físico,2024,1
116,4707,19023,1015,1490,8,Região VIII,5,5,0,0,5,2024,1,Ação Físico,2024,1
117,4707,19023,1015,1490,9,Região IX,4,4,0,0,3,2024,1,Ação Físico,2024,1
118,4714,11022,1015,2087,1,Região I,1,1,0,0,1,2024,1,Ação Físico,2024,1
119,4717,11009,1015,2174,1,Região I,100,100,0,0,100,2024,1,Ação Físico,2024,1
120,4719,14023,1000,2064,1,Região I,7.04,7.04,0,0,100,2024,1,Ação Físico,2024,1
121,4720,11009,2128,2172,1,Região I,6,6,0,0,11,2024,1,Ação Físico,2024,1
122,4721,11009,2128,2557,1,Região I,100,100,0,0,100,2024,1,Ação Físico,2024,1
123,4722,11009,2133,4546,2,Região II,100,100,0,0,100,2024,1,Ação Físico,2024,1
124,4722,11009,2133,4546,3,Região III,100,100,0,0,100,2024,1,Ação Físico,2024,1
125,4722,11009,2133,4546,4,Região IV,100,100,0,0,100,2024,1,Ação Físico,2024,1
126,4722,11009,2133,4546,5,Região V,100,100,0,0,100,2024,1,Ação Físico,2024,1
127,4722,11009,2133,4546,6,Região VI,100,100,0,0,100,2024,1,Ação Físico,2024,1
128,4722,11009,2133,4546,7,Região VII,100,100,0,0,100,2024,1,Ação Físico,2024,1
129,4722,11009,2133,4546,8,Região VIII,100,100,0,0,100,2024,1,Ação Físico,2024,1
130,4722,11009,2133,4546,9,Região IX,100,100,0,0,100,2024,1,Ação Físico,2024,1
131,4722,11009,2133,4546,10,Região X,100,100,0,0,100,2024,1,Ação Físico,2024,1
132,4723,11009,2041,2497,1,Região I,0,0,0,0,100,2024,1,Ação Físico,2024,1
133,4725,11009,2041,4547,1,Região I,0,0,0,0,100,2024,1,Ação Físico,2024,1
